MLT,All onsets,Isolated onsets,Compound onsets,Convection Expansions,After Convection onsets,GEG onsets
0,8177,3302,2572,1066,514,723
1,7483,2780,2312,1159,584,648
2,6111,1849,1940,1224,572,526
3,4861,1265,1564,1067,563,402
4,4226,1071,1378,955,510,312
5,3621,881,1110,897,448,285
6,2831,670,910,651,380,220
7,2077,535,611,537,217,177
8,1407,420,391,333,133,130
9,1093,360,271,287,75,100
10,842,278,210,216,61,77
11,595,191,155,158,31,60
12,556,192,133,144,39,48
13,515,186,126,118,42,43
14,374,135,107,72,32,28
15,263,91,69,63,26,14
16,155,61,30,33,17,14
17,127,58,34,17,11,7
18,199,77,63,39,12,8
19,466,161,150,74,50,31
20,1105,412,378,142,95,78
21,2632,985,878,380,201,188
22,5063,2153,1585,635,300,390
23,7462,3162,2391,876,421,612
